"id","job_name","task_name","status","start_time","end_time","src_system","src_database","src_table","src_count","tgt_system","tgt_database","tgt_table","tgt_count","load_type","error_msg","record_inserted","record_deleted","record_updated","insert_dttm","update_dttm"
"05547815-2c6c-47e7-8c16-62033aa758e2","TRUNCATE_LOAD","CUST_LOAD","C","2026-09-15 11:14:37.5633+00","2026-09-15 11:34:51.454401+00","Postgres","Source","customers",1000,"Postgres","Silver","customers",1000,"truncate_load",NULL,1000,0,NULL,"2026-09-15 11:14:37.5633+00","2026-09-15 11:34:51.454401+00"
"5464a8d4-5445-4d2a-9b49-896254ee8061","TRUNCATE_LOAD","CUST_LOAD","C","2026-09-15 11:35:22.359709+00","2026-09-15 11:35:23.919249+00","Postgres","Source","customers",1000,"Postgres","Silver","customers",1000,"truncate_load",NULL,1000,1000,NULL,"2026-09-15 11:35:22.359709+00","2026-09-15 11:35:23.919249+00"
